"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2600:1901:0:38d7::","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","TCP","86","80  >  55739 [ACK] Seq=1 Ack=1 Win=261 Len=0 SLE=0 SRE=1"
"2","0.012001","2600:1901:0:e988::","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","TCP","74","443  >  55750 [ACK] Seq=1 Ack=1 Win=340 Len=0"
"3","0.012001","2600:1901:0:e988::","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","TLSv1.2","159","Application Data"
"4","0.012329","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","2600:1901:0:e988::","TLSv1.2","113","Application Data"
"5","0.052468","192.168.144.139","34.107.221.82","HTTP","55","Continuation"
"6","0.107716","2600:1901:0:e988::","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","TCP","74","443  >  55750 [ACK] Seq=86 Ack=40 Win=340 Len=0"
"7","0.116233","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","2600:1901:0:38d7::","HTTP","75","Continuation"
"8","0.140781","34.107.221.82","192.168.144.139","TCP","66","80  >  55742 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"9","0.204926","2600:1901:0:38d7::","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","TCP","86","80  >  55743 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"10","0.665603","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","2405:200:1630:a0b::312c:c4b3","TCP","75","55746  >  80 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"11","0.762196","2405:200:1630:a0b::312c:c4b3","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","TCP","86","80  >  55746 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"12","1.026283","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","2404:6800:4009:80a::2003","TCP","75","55762  >  80 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"13","1.160937","2404:6800:4009:80a::2003","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","TCP","86","80  >  55762 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"14","1.196739","2409:4089:2d0a:d410:19ac:9552:3acb:fb4b","64:ff9b::98c3:264c","TCP","75","55768  >  80 [ACK] Seq=1 Ack=1 Win=510 Len=1"
