No.,Time,Source,Destination,Protocol,Length,Info
1,0,VMware_c0:00:08,Broadcast,ARP,60,Who has 192.168.149.2? Tell 192.168.149.1
2,1.140996308,VMware_c0:00:08,Broadcast,ARP,60,Who has 192.168.149.2? Tell 192.168.149.1
3,2.002342422,VMware_c0:00:08,Broadcast,ARP,60,Who has 192.168.149.2? Tell 192.168.149.1
4,3.000861635,VMware_c0:00:08,Broadcast,ARP,60,Who has 192.168.149.2? Tell 192.168.149.1
5,5.183159849,142.250.192.46,192.168.149.2,DNS,88,Standard query 0x5845 A contile.services.mozilla.com
6,5.183341077,142.250.192.46,192.168.149.2,DNS,88,Standard query 0x4447 AAAA contile.services.mozilla.com
7,5.478974283,142.250.192.46,192.168.149.2,DNS,95,Standard query 0xed23 A content-signature-2.cdn.mozilla.net
8,5.479037574,142.250.192.46,192.168.149.2,DNS,95,Standard query 0xe426 AAAA content-signature-2.cdn.mozilla.net
9,5.583190725,192.168.149.2,142.250.192.46,DNS,104,Standard query response 0x5845 A contile.services.mozilla.com A 34.117.237.239
10,5.5831911,192.168.149.2,142.250.192.46,DNS,169,Standard query response 0x4447 AAAA contile.services.mozilla.com SOA ns-679.awsdns-20.net
11,5.584206231,142.250.192.46,34.117.237.239,TCP,74,50890  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4006347968 TSecr=0 WS=128
12,5.652639814,192.168.149.1,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 
13,5.807179048,34.117.237.239,142.250.192.46,TCP,60,"443  >  50890 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
14,5.807368112,142.250.192.46,34.117.237.239,TCP,54,50890  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
15,5.814290477,142.250.192.46,34.117.237.239,TLSv1.3,571,Client Hello
16,5.814606692,34.117.237.239,142.250.192.46,TCP,60,443  >  50890 [ACK] Seq=1 Ack=518 Win=64240 Len=0
17,5.859971563,192.168.149.2,142.250.192.46,DNS,261,Standard query response 0xe426 AAAA content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net AAAA 2600:1901:0:92a9::
18,5.859971879,192.168.149.2,142.250.192.46,DNS,249,Standard query response 0xed23 A content-signature-2.cdn.mozilla.net CNAME content-signature-chains.prod.autograph.services.mozaws.net CNAME prod.content-signature-chains.prod.webservices.mozgcp.net A 34.160.144.191
19,5.871870001,142.250.192.46,34.160.144.191,TCP,74,60436  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4125080567 TSecr=0 WS=128
20,5.879231704,34.160.144.191,142.250.192.46,TCP,60,"443  >  60436 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
21,5.879321227,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
22,5.879540425,142.250.192.46,34.160.144.191,TLSv1.2,270,Client Hello
23,5.879682089,34.160.144.191,142.250.192.46,TCP,60,443  >  60436 [ACK] Seq=1 Ack=217 Win=64240 Len=0
24,5.960638561,34.117.237.239,142.250.192.46,TLSv1.3,2878,"Server Hello, Change Cipher Spec"
25,5.960710596,142.250.192.46,34.117.237.239,TCP,54,50890  >  443 [ACK] Seq=518 Ack=2825 Win=62780 Len=0
26,5.967408868,34.117.237.239,142.250.192.46,TLSv1.3,1804,Application Data
27,5.967429199,142.250.192.46,34.117.237.239,TCP,54,50890  >  443 [ACK] Seq=518 Ack=4575 Win=62780 Len=0
28,6.003861084,34.160.144.191,142.250.192.46,TLSv1.2,1466,Server Hello
29,6.003886799,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=217 Ack=1413 Win=63540 Len=0
30,6.003982867,34.160.144.191,142.250.192.46,TCP,1514,"443  >  60436 [PSH, ACK] Seq=1413 Ack=217 Win=64240 Len=1460 [TCP segment of a reassembled PDU]"
31,6.003998465,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=217 Ack=2873 Win=62780 Len=0
32,6.004286781,34.160.144.191,142.250.192.46,TLSv1.2,1639,"Certificate, Server Key Exchange, Server Hello Done"
33,6.004296498,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=217 Ack=4458 Win=62780 Len=0
34,6.00692015,142.250.192.46,34.160.144.191,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
35,6.007207028,34.160.144.191,142.250.192.46,TCP,60,443  >  60436 [ACK] Seq=4458 Ack=310 Win=64240 Len=0
36,6.06423323,34.160.144.191,142.250.192.46,TLSv1.2,349,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
37,6.064804129,34.160.144.191,142.250.192.46,TLSv1.2,123,Application Data
38,6.105538234,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=310 Ack=4822 Win=62780 Len=0
39,6.156568618,142.250.192.46,192.168.149.2,DNS,74,Standard query 0x2da2 A r3.o.lencr.org
40,6.156733069,142.250.192.46,192.168.149.2,DNS,74,Standard query 0x42a0 AAAA r3.o.lencr.org
41,6.238678876,192.168.149.2,142.250.192.46,DNS,197,Standard query response 0x42a0 AAAA r3.o.lencr.org CNAME o.lencr.edgesuite.net CNAME a1887.dscq.akamai.net AAAA 2600:140f:2e00::6847:3d4a AAAA 2600:140f:2e00::6847:3d51
42,6.298829937,192.168.149.2,142.250.192.46,DNS,173,Standard query response 0x2da2 A r3.o.lencr.org CNAME o.lencr.edgesuite.net CNAME a1887.dscq.akamai.net A 23.48.226.75 A 23.48.226.43
43,6.299731894,142.250.192.46,23.48.226.75,TCP,74,59604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3583637072 TSecr=0 WS=128
44,6.299802494,142.250.192.46,23.48.226.75,TCP,74,59610  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3583637072 TSecr=0 WS=128
45,6.306472029,23.48.226.75,142.250.192.46,TCP,60,"80  >  59604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
46,6.306526103,142.250.192.46,23.48.226.75,TCP,54,59604  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
47,6.306880471,142.250.192.46,23.48.226.75,OCSP,469,Request
48,6.307024988,23.48.226.75,142.250.192.46,TCP,60,80  >  59604 [ACK] Seq=1 Ack=416 Win=64240 Len=0
49,6.311663673,23.48.226.75,142.250.192.46,TCP,60,"80  >  59610 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
50,6.311691913,142.250.192.46,23.48.226.75,TCP,54,59610  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
51,6.311954154,142.250.192.46,23.48.226.75,OCSP,469,Request
52,6.31210133,23.48.226.75,142.250.192.46,TCP,60,80  >  59610 [ACK] Seq=1 Ack=416 Win=64240 Len=0
53,6.394511059,142.250.192.46,192.168.149.2,DNS,85,Standard query 0x071f A push.services.mozilla.com
54,6.394587862,142.250.192.46,192.168.149.2,DNS,85,Standard query 0x0e1d AAAA push.services.mozilla.com
55,6.428301256,23.48.226.75,142.250.192.46,OCSP,981,Response
56,6.42832311,142.250.192.46,23.48.226.75,TCP,54,59604  >  80 [ACK] Seq=416 Ack=928 Win=63963 Len=0
57,6.446105982,142.250.192.46,34.160.144.191,TLSv1.2,231,Application Data
58,6.446287834,142.250.192.46,34.160.144.191,TLSv1.2,349,Application Data
59,6.446693444,142.250.192.46,34.160.144.191,TLSv1.2,92,Application Data
60,6.446810647,34.160.144.191,142.250.192.46,TCP,60,443  >  60436 [ACK] Seq=4822 Ack=487 Win=64240 Len=0
61,6.446810847,34.160.144.191,142.250.192.46,TCP,60,443  >  60436 [ACK] Seq=4822 Ack=782 Win=64240 Len=0
62,6.446874264,34.160.144.191,142.250.192.46,TCP,60,443  >  60436 [ACK] Seq=4822 Ack=820 Win=64240 Len=0
63,6.459365419,192.168.149.2,142.250.192.46,DNS,139,Standard query response 0x071f A push.services.mozilla.com CNAME autopush.prod.mozaws.net A 34.208.31.97
64,6.461423905,142.250.192.46,192.168.149.2,DNS,87,Standard query 0xae05 A safebrowsing.googleapis.com
65,6.46149938,142.250.192.46,192.168.149.2,DNS,87,Standard query 0x5003 AAAA safebrowsing.googleapis.com
